[INFO] [1776691607.771806069] [tag_localization]: tag_localization started
[INFO] [1776691607.772639344] [tag_localization]: detections_topic=/aruco/detections_json
[INFO] [1776692459.221521558] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.437, y=1.128, yaw=-117.6 deg
[INFO] [1776692459.545151584] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692462.244140277] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692462.605638381] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692463.031423232] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692463.564329017] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692464.397958768] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692465.932538020] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692466.835232406] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692467.296558861] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692467.938809337] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692468.799475952] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.441, y=1.130, yaw=-118.0 deg
[INFO] [1776692469.237745268] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.441, y=1.130, yaw=-118.0 deg
[INFO] [1776692469.923591507] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692470.288727437] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692471.355311407] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692472.116067292] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692472.418228708] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692473.025874905] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692473.752435143] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
